timestamp,entity_id,event_type,dst_id,bytes,Label
2026-02-18 12:41:14.606841,192.168.1.6,TCP_WELL_KNOWN,10.0.0.11,5965,Normal
2026-02-18 00:57:39.606841,192.168.1.2,TCP_REGISTERED,10.0.0.18,307,Normal
2026-02-17 17:34:06.606841,192.168.1.5,UDP_WELL_KNOWN,10.0.0.13,2640,Normal
2026-02-18 12:50:12.606841,192.168.1.9,UDP_WELL_KNOWN,10.0.0.19,4008,Normal
2026-02-18 11:13:34.606841,192.168.1.4,UDP_REGISTERED,10.0.0.3,7491,Normal
2026-02-17 18:45:10.606841,192.168.1.4,TCP_WELL_KNOWN,10.0.0.14,4115,Normal
2026-02-18 16:35:00.606841,192.168.1.2,UDP_WELL_KNOWN,10.0.0.5,7455,Normal
2026-02-18 00:53:08.606841,192.168.1.1,TCP_REGISTERED,10.0.0.17,6616,Normal
2026-02-18 02:56:08.606841,192.168.1.1,TCP_REGISTERED,10.0.0.11,8338,Normal
2026-02-17 20:34:52.606841,192.168.1.2,TCP_REGISTERED,10.0.0.16,5308,Normal
2026-02-18 11:35:12.606841,192.168.1.4,TCP_REGISTERED,10.0.0.9,3793,Normal
2026-02-17 21:29:03.606841,192.168.1.6,UDP_REGISTERED,10.0.0.14,8048,Normal
2026-02-18 05:07:05.606841,192.168.1.2,UDP_REGISTERED,10.0.0.16,9845,Normal
2026-02-18 14:53:24.606841,192.168.1.5,UDP_REGISTERED,10.0.0.15,1651,Normal
2026-02-18 09:40:48.606841,192.168.1.3,TCP_REGISTERED,10.0.0.3,5591,Normal
2026-02-18 13:40:44.606841,192.168.1.5,UDP_REGISTERED,10.0.0.14,5401,Normal
2026-02-17 23:32:18.606841,192.168.1.3,UDP_WELL_KNOWN,10.0.0.1,9689,Normal
2026-02-18 07:11:20.606841,192.168.1.7,TCP_REGISTERED,10.0.0.8,1837,Normal
2026-02-17 18:35:06.606841,192.168.1.6,TCP_WELL_KNOWN,10.0.0.1,9730,Normal
2026-02-18 02:01:14.606841,192.168.1.9,UDP_WELL_KNOWN,10.0.0.14,7876,Normal
2026-02-18 00:47:43.606841,192.168.1.8,UDP_WELL_KNOWN,10.0.0.3,6796,Normal
2026-02-18 11:54:18.606841,192.168.1.3,UDP_REGISTERED,10.0.0.15,241,Normal
2026-02-17 23:17:40.606841,192.168.1.8,TCP_REGISTERED,10.0.0.17,5057,Normal
2026-02-18 11:03:30.606841,192.168.1.2,UDP_WELL_KNOWN,10.0.0.6,7026,Normal
2026-02-18 10:20:56.606841,192.168.1.3,TCP_WELL_KNOWN,10.0.0.18,581,Normal
2026-02-18 01:43:48.606841,192.168.1.2,UDP_WELL_KNOWN,10.0.0.10,8539,Normal
2026-02-17 19:31:43.606841,192.168.1.7,TCP_WELL_KNOWN,10.0.0.15,7075,Normal
2026-02-18 01:19:57.606841,192.168.1.5,UDP_WELL_KNOWN,10.0.0.9,3532,Normal
2026-02-18 02:32:20.606841,192.168.1.9,TCP_WELL_KNOWN,10.0.0.12,7570,Normal
2026-02-17 21:45:19.606841,192.168.1.5,TCP_WELL_KNOWN,10.0.0.15,6786,Normal
2026-02-18 17:10:58.606841,192.168.1.7,UDP_REGISTERED,10.0.0.16,3025,Normal
2026-02-18 11:43:05.606841,192.168.1.5,TCP_WELL_KNOWN,10.0.0.16,5497,Normal
2026-02-18 13:01:57.606841,192.168.1.3,UDP_WELL_KNOWN,10.0.0.10,3924,Normal
2026-02-18 08:43:17.606841,192.168.1.8,TCP_WELL_KNOWN,10.0.0.3,5649,Normal
2026-02-18 03:55:19.606841,192.168.1.6,UDP_REGISTERED,10.0.0.9,5434,Normal
2026-02-18 01:25:42.606841,192.168.1.6,UDP_REGISTERED,10.0.0.19,8070,Normal
2026-02-17 17:34:29.606841,192.168.1.3,UDP_REGISTERED,10.0.0.3,4445,Normal
2026-02-18 08:43:05.606841,192.168.1.4,TCP_WELL_KNOWN,10.0.0.7,959,Normal
2026-02-18 16:38:46.606841,192.168.1.7,TCP_WELL_KNOWN,10.0.0.6,5772,Normal
2026-02-18 12:51:09.606841,192.168.1.8,UDP_WELL_KNOWN,10.0.0.2,3841,Normal
2026-02-17 20:54:19.606841,192.168.1.8,UDP_REGISTERED,10.0.0.14,459,Normal
2026-02-18 04:02:45.606841,192.168.1.1,TCP_REGISTERED,10.0.0.14,3530,Normal
2026-02-18 01:14:22.606841,192.168.1.4,UDP_WELL_KNOWN,10.0.0.9,2750,Normal
